Net:0.653918657598,Trade:1.10807433292,Cost:0.454155675321,Avg:0.0217972885866,Std:0.0192788693122,Trades/Day:42.1,leb:3,msr:3,ueb:7,
Net:0.765915352202,Trade:1.19375323382,Cost:0.427837881621,Avg:0.0255305117401,Std:0.0199289215374,Trades/Day:37.6333333333,leb:3,msr:4,ueb:7,
Net:0.769527141509,Trade:1.17101222636,Cost:0.40148508485,Avg:0.025650904717,Std:0.0220225392819,Trades/Day:33.5,leb:3,msr:5,ueb:7,
Net:0.761182783646,Trade:1.13995300474,Cost:0.378770221096,Avg:0.0253727594549,Std:0.021663262213,Trades/Day:30.0666666667,leb:3,msr:6,ueb:7,
Net:0.69932320184,Trade:1.06093098883,Cost:0.361607786989,Avg:0.0233107733947,Std:0.0219352200714,Trades/Day:27.8333333333,leb:3,msr:7,ueb:7,
Net:0.743228654368,Trade:1.09256683413,Cost:0.349338179766,Avg:0.0247742884789,Std:0.0226626635829,Trades/Day:25.7666666667,leb:3,msr:8,ueb:7,
Net:0.71614772525,Trade:1.05363109362,Cost:0.337483368368,Avg:0.0238715908417,Std:0.0229228008375,Trades/Day:24.0333333333,leb:3,msr:9,ueb:7,
Net:0.196876310687,Trade:0.754527969338,Cost:0.557651658651,Avg:0.00656254368956,Std:0.00789753761288,Trades/Day:56.5,leb:3,msr:0,ueb:8,
Net:0.406461398303,Trade:0.941441732617,Cost:0.534980334314,Avg:0.0135487132768,Std:0.0117374364262,Trades/Day:53.4333333333,leb:3,msr:1,ueb:8,
Net:0.561522946566,Trade:1.06419248598,Cost:0.502669539414,Avg:0.0187174315522,Std:0.0152939741497,Trades/Day:48.7,leb:3,msr:2,ueb:8,
Net:0.665917653144,Trade:1.12251788746,Cost:0.456600234315,Avg:0.0221972551048,Std:0.0196983969479,Trades/Day:42.1666666667,leb:3,msr:3,ueb:8,
Net:0.777913189081,Trade:1.20819562972,Cost:0.430282440634,Avg:0.025930439636,Std:0.0203157763725,Trades/Day:37.7,leb:3,msr:4,ueb:8,
Net:0.790002090455,Trade:1.1932858626,Cost:0.403283772146,Avg:0.0263334030152,Std:0.022751149465,Trades/Day:33.5,leb:3,msr:5,ueb:8,
Net:0.780711010789,Trade:1.16127991906,Cost:0.380568908274,Avg:0.0260237003596,Std:0.0221617256629,Trades/Day:30.0333333333,leb:3,msr:6,ueb:8,
Net:0.709364336919,Trade:1.07218129937,Cost:0.362816962446,Avg:0.0236454778973,Std:0.022192790725,Trades/Day:27.7333333333,leb:3,msr:7,ueb:8,
Net:0.747971630016,Trade:1.09852359136,Cost:0.350551961343,Avg:0.0249323876672,Std:0.0230483816039,Trades/Day:25.7,leb:3,msr:8,ueb:8,
Net:0.723232903171,Trade:1.0619300535,Cost:0.33869715033,Avg:0.024107763439,Std:0.0234893891728,Trades/Day:23.9333333333,leb:3,msr:9,ueb:8,
Net:0.201730512734,Trade:0.764683009539,Cost:0.562952496805,Avg:0.00672435042445,Std:0.00802474823652,Trades/Day:56.9333333333,leb:3,msr:0,ueb:9,
Net:0.410786147237,Trade:0.950494942907,Cost:0.53970879567,Avg:0.0136928715746,Std:0.0120176200631,Trades/Day:53.7666666667,leb:3,msr:1,ueb:9,
Net:0.562383178593,Trade:1.0697811778,Cost:0.507397999207,Avg:0.0187461059531,Std:0.01546031481,Trades/Day:49.0,leb:3,msr:2,ueb:9,
Net:0.666098374931,Trade:1.12568368003,Cost:0.459585305098,Avg:0.0222032791644,Std:0.019850914312,Trades/Day:42.3,leb:3,msr:3,ueb:9,
Net:0.777682531288,Trade:1.21095004268,Cost:0.433267511389,Avg:0.0259227510429,Std:0.0204000950008,Trades/Day:37.8333333333,leb:3,msr:4,ueb:9,
Net:0.791854773606,Trade:1.19754501303,Cost:0.405690239427,Avg:0.0263951591202,Std:0.0230094111842,Trades/Day:33.5666666667,leb:3,msr:5,ueb:9,
Net:0.780781275405,Trade:1.16375665048,Cost:0.382975375078,Avg:0.0260260425135,Std:0.022437319139,Trades/Day:30.1,leb:3,msr:6,ueb:9,
Net:0.708612011815,Trade:1.07383544095,Cost:0.365223429136,Avg:0.0236204003938,Std:0.0224781872589,Trades/Day:27.8,leb:3,msr:7,ueb:9,
Net:0.747219304912,Trade:1.10017773294,Cost:0.352958428033,Avg:0.0249073101637,Std:0.0233308927872,Trades/Day:25.7666666667,leb:3,msr:8,ueb:9,
Net:0.722940918852,Trade:1.06462307258,Cost:0.341682153728,Avg:0.0240980306284,Std:0.0239326160803,Trades/Day:24.0666666667,leb:3,msr:9,ueb:9,
Net:0.0573555863316,Trade:0.16984940241,Cost:0.112493816078,Avg:0.00191185287772,Std:0.00417660821408,Trades/Day:11.8666666667,leb:4,msr:0,ueb:5,
Net:0.106673044495,Trade:0.217865465414,Cost:0.111192420918,Avg:0.00355576814985,Std:0.00577859764697,Trades/Day:11.6666666667,leb:4,msr:1,ueb:5,
Net:0.148300203327,Trade:0.258252256246,Cost:0.109952052919,Avg:0.00494334011088,Std:0.00866298751,Trades/Day:11.4666666667,leb:4,msr:2,ueb:5,
Net:0.188223344798,Trade:0.295737796749,Cost:0.107514451952,Avg:0.00627411149326,Std:0.0105203613231,Trades/Day:11.0333333333,leb:4,msr:3,ueb:5,
Net:0.193299083362,Trade:0.299644487142,Cost:0.10634540378,Avg:0.00644330277873,Std:0.0119702331197,Trades/Day:10.8333333333,leb:4,msr:4,ueb:5,
Net:0.209621770509,Trade:0.313556147737,Cost:0.103934377228,Avg:0.0069873923503,Std:0.0124330985616,Trades/Day:10.3666666667,leb:4,msr:5,ueb:5,
Net:0.236189341568,Trade:0.335068573985,Cost:0.0988792324164,Avg:0.00787297805227,Std:0.0151377545976,Trades/Day:9.7,leb:4,msr:6,ueb:5,
Net:0.266794528131,Trade:0.362585758629,Cost:0.0957912304975,Avg:0.00889315093771,Std:0.0170594271909,Trades/Day:9.2,leb:4,msr:7,ueb:5,
Net:0.300175915172,Trade:0.391496948234,Cost:0.0913210330621,Avg:0.0100058638391,Std:0.0171008876443,Trades/Day:8.6,leb:4,msr:8,ueb:5,
Net:0.282520341975,Trade:0.370776870256,Cost:0.0882565282804,Avg:0.00941734473251,Std:0.019414064367,Trades/Day:8.13333333333,leb:4,msr:9,ueb:5,
Net:0.0817487354027,Trade:0.241182490226,Cost:0.159433754823,Avg:0.00272495784676,Std:0.00511169069273,Trades/Day:16.5666666667,leb:4,msr:0,ueb:6,
Net:0.154977054908,Trade:0.313109405115,Cost:0.158132350206,Avg:0.00516590183028,Std:0.00806980361842,Trades/Day:16.2,leb:4,msr:1,ueb:6,
Net:0.198151081021,Trade:0.353869504273,Cost:0.155718423252,Avg:0.00660503603403,Std:0.0111558649116,Trades/Day:15.7333333333,leb:4,msr:2,ueb:6,
Net:0.236904851346,Trade:0.384175537854,Cost:0.147270686508,Avg:0.00789682837821,Std:0.0144404031297,Trades/Day:14.5333333333,leb:4,msr:3,ueb:6,
Net:0.257296239012,Trade:0.400356474252,Cost:0.14306023524,Avg:0.0085765413004,Std:0.0164208941152,Trades/Day:13.8666666667,leb:4,msr:4,ueb:6,
Net:0.291774291163,Trade:0.43061998128,Cost:0.138845690118,Avg:0.00972580970542,Std:0.0181801244161,Trades/Day:13.0666666667,leb:4,msr:5,ueb:6,
Net:0.318807508474,Trade:0.451888098158,Cost:0.133080589685,Avg:0.0106269169491,Std:0.0203120049854,Trades/Day:12.2,leb:4,msr:6,ueb:6,
Net:0.333692416248,Trade:0.462438960705,Cost:0.128746544456,Avg:0.0111230805416,Std:0.0209233111347,Trades/Day:11.5666666667,leb:4,msr:7,ueb:6,
Net:0.371482394251,Trade:0.494492502675,Cost:0.123010108423,Avg:0.012382746475,Std:0.0207901446265,Trades/Day:10.8666666667,leb:4,msr:8,ueb:6,
Net:0.348396989707,Trade:0.466036502543,Cost:0.117639512837,Avg:0.0116132329902,Std:0.022033652073,Trades/Day:10.1,leb:4,msr:9,ueb:6,
Net:0.0977006700798,Trade:0.279501435343,Cost:0.181800765263,Avg:0.00325668900266,Std:0.00572475239061,Trades/Day:18.7,leb:4,msr:0,ueb:7,
Net:0.18031793832,Trade:0.360241523732,Cost:0.179923585412,Avg:0.00601059794401,Std:0.00930891500585,Trades/Day:18.2666666667,leb:4,msr:1,ueb:7,
