Net:-2.840329585, Trade:1.48248392401, Cost:4.32281350901, Avg:-0.0473388264166 Std:0.037347754618 Trades/Day:121.816666667, et:0, leb:2, bs:1, ueb:3,
Net:-1.78297392894, Trade:1.87399173505, Cost:3.65696566399, Avg:-0.029716232149 Std:0.0281822609424 Trades/Day:91.6, et:0, leb:2, bs:2, ueb:3,
Net:-1.34612779349, Trade:1.74190530611, Cost:3.08803309959, Avg:-0.0224354632248 Std:0.0257163703606 Trades/Day:65.75, et:0, leb:2, bs:3, ueb:3,
Net:-1.11734765573, Trade:1.61506752422, Cost:2.73241517995, Avg:-0.0186224609288 Std:0.0296559290254 Trades/Day:49.05, et:0, leb:2, bs:4, ueb:3,
Net:-1.00857664045, Trade:1.56716532799, Cost:2.57574196844, Avg:-0.0168096106741 Std:0.0312386673363 Trades/Day:41.7, et:0, leb:2, bs:5, ueb:3,
Net:-1.0288782889, Trade:1.50139015273, Cost:2.53026844163, Avg:-0.0171479714817 Std:0.0315784300153 Trades/Day:39.3333333333, et:0, leb:2, bs:6, ueb:3,
Net:-1.01182323629, Trade:1.4924119355, Cost:2.50423517179, Avg:-0.0168637206049 Std:0.0311662429449 Trades/Day:38.1833333333, et:0, leb:2, bs:7, ueb:3,
Net:-0.999186055675, Trade:1.49953225903, Cost:2.49871831471, Avg:-0.0166531009279 Std:0.0312536319397 Trades/Day:37.9166666667, et:0, leb:2, bs:8, ueb:3,
Net:-0.992261302783, Trade:1.50564266483, Cost:2.49790396762, Avg:-0.0165376883797 Std:0.0315835687635 Trades/Day:37.85, et:0, leb:2, bs:9, ueb:3,
Net:-2.14416771928, Trade:1.84256840269, Cost:3.98673612197, Avg:-0.0357361286547 Std:0.0335950775935 Trades/Day:106.033333333, et:1, leb:2, bs:1, ueb:3,
Net:-0.986206148273, Trade:1.89981232689, Cost:2.88601847516, Avg:-0.0164367691379 Std:0.030549131026 Trades/Day:56.1166666667, et:1, leb:2, bs:2, ueb:3,
