Net:-5.52456512386, Trade:3.97076723435, Cost:9.49533235821, Avg:-0.0441965209909 Std:0.0505939117379 Trades/Day:123.664, et:1, leb:2, bs:1, ueb:4,
Net:-2.81526459284, Trade:4.06505300689, Cost:6.88031759973, Avg:-0.0225221167427 Std:0.0435837662834 Trades/Day:64.224, et:1, leb:2, bs:2, ueb:4,
Net:-2.48144292737, Trade:3.7559497936, Cost:6.23739272097, Avg:-0.019851543419 Std:0.0405778838634 Trades/Day:49.568, et:1, leb:2, bs:3, ueb:4,
Net:-2.49971906374, Trade:3.62943743239, Cost:6.12915649613, Avg:-0.0199977525099 Std:0.0402423744186 Trades/Day:47.104, et:1, leb:2, bs:4, ueb:4,
Net:-2.50755980692, Trade:3.61155892016, Cost:6.11911872709, Avg:-0.0200604784554 Std:0.0401825260867 Trades/Day:46.84, et:1, leb:2, bs:5, ueb:4,
Net:-2.51462075943, Trade:3.60071302045, Cost:6.11533377987, Avg:-0.0201169660754 Std:0.0402674716622 Trades/Day:46.76, et:1, leb:2, bs:6, ueb:4,
Net:-2.51600514967, Trade:3.59932862953, Cost:6.1153337792, Avg:-0.0201280411974 Std:0.0402676326764 Trades/Day:46.76, et:1, leb:2, bs:7, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:1, leb:2, bs:8, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:1, leb:2, bs:9, ueb:4,
Net:-2.55365155265, Trade:3.82602358293, Cost:6.37967513558, Avg:-0.0204292124212 Std:0.0417075961954 Trades/Day:52.928, et:2, leb:2, bs:1, ueb:4,
Net:-2.52049641311, Trade:3.60715692079, Cost:6.1276533339, Avg:-0.0201639713049 Std:0.0404645642404 Trades/Day:47.008, et:2, leb:2, bs:2, ueb:4,
Net:-2.51200402136, Trade:3.60347661462, Cost:6.11548063598, Avg:-0.0200960321709 Std:0.0402323226516 Trades/Day:46.76, et:2, leb:2, bs:3, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:4, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:5, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:6, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:7, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:8, ueb:4,
Net:-2.5146131504, Trade:3.59933334454, Cost:6.11394649493, Avg:-0.0201169052032 Std:0.040267471821 Trades/Day:46.744, et:2, leb:2, bs:9, ueb:4,
Net:-7.50968879665, Trade:3.56471501438, Cost:11.074403811, Avg:-0.0600775103732 Std:0.0591346788446 Trades/Day:152.992, et:0, leb:2, bs:1, ueb:5,
Net:-4.57097766398, Trade:4.48553337624, Cost:9.05651104022, Avg:-0.0365678213119 Std:0.0493067722522 Trades/Day:108.344, et:0, leb:2, bs:2, ueb:5,
Net:-3.52482030339, Trade:4.13918053661, Cost:7.66400084, Avg:-0.0281985624271 Std:0.0447924047843 Trades/Day:77.136, et:0, leb:2, bs:3, ueb:5,
Net:-2.84544128996, Trade:4.07069062583, Cost:6.91613191578, Avg:-0.0227635303197 Std:0.0440285651959 Trades/Day:60.096, et:0, leb:2, bs:4, ueb:5,
Net:-2.71993831694, Trade:3.91393184586, Cost:6.6338701628, Avg:-0.0217595065355 Std:0.0444260466779 Trades/Day:53.008, et:0, leb:2, bs:5, ueb:5,
Net:-2.7047176685, Trade:3.83736996691, Cost:6.54208763541, Avg:-0.021637741348 Std:0.0439257641983 Trades/Day:50.848, et:0, leb:2, bs:6, ueb:5,
Net:-2.68205930698, Trade:3.83373002108, Cost:6.51578932807, Avg:-0.0214564744559 Std:0.0440098451203 Trades/Day:50.12, et:0, leb:2, bs:7, ueb:5,
Net:-2.66637508509, Trade:3.83616263671, Cost:6.50253772181, Avg:-0.0213310006807 Std:0.0440736691144 Trades/Day:49.824, et:0, leb:2, bs:8, ueb:5,
Net:-2.67710863986, Trade:3.82363088197, Cost:6.50073952183, Avg:-0.0214168691189 Std:0.0441098142224 Trades/Day:49.752, et:0, leb:2, bs:9, ueb:5,
Net:-5.79205895149, Trade:4.17473522423, Cost:9.96679417572, Avg:-0.0463364716119 Std:0.0545128503233 Trades/Day:128.088, et:1, leb:2, bs:1, ueb:5,
Net:-2.97596635228, Trade:4.26795407545, Cost:7.24392042774, Avg:-0.0238077308183 Std:0.0470941032072 Trades/Day:66.776, et:1, leb:2, bs:2, ueb:5,
Net:-2.6662329621, Trade:3.94296623273, Cost:6.60919919482, Avg:-0.0213298636968 Std:0.0442410388661 Trades/Day:52.224, et:1, leb:2, bs:3, ueb:5,
Net:-2.65863549423, Trade:3.85197178921, Cost:6.51060728344, Avg:-0.0212690839538 Std:0.044202166409 Trades/Day:50.024, et:1, leb:2, bs:4, ueb:5,
Net:-2.66793009384, Trade:3.8341944436, Cost:6.50212453744, Avg:-0.0213434407507 Std:0.0440541196444 Trades/Day:49.784, et:1, leb:2, bs:5, ueb:5,
Net:-2.67580428237, Trade:3.82474626558, Cost:6.50055054794, Avg:-0.021406434259 Std:0.0441227177253 Trades/Day:49.736, et:1, leb:2, bs:6, ueb:5,
