Net:-4.68309054934, Trade:4.71900094585, Cost:9.40209149519, Avg:-0.0261625170354 Std:0.0309227148732 Trades/Day:122.301675978, et:0, leb:2, bs:1, ueb:3,
Net:-1.4712703449, Trade:6.51949925378, Cost:7.99076959868, Avg:-0.00821938740167 Std:0.0292579272359 Trades/Day:93.625698324, et:0, leb:2, bs:2, ueb:3,
Net:-0.100776039781, Trade:6.63369633204, Cost:6.73447237182, Avg:-0.000562994635646 Std:0.0300035178189 Trades/Day:67.4972067039, et:0, leb:2, bs:3, ueb:3,
Net:0.309277582073, Trade:6.23249223556, Cost:5.92321465349, Avg:0.00172780772108 Std:0.0319065317643 Trades/Day:49.9776536313, et:0, leb:2, bs:4, ueb:3,
Net:0.405152637468, Trade:5.95135601776, Cost:5.54620338029, Avg:0.00226342255569 Std:0.0320962865844 Trades/Day:41.843575419, et:0, leb:2, bs:5, ueb:3,
Net:0.292759184673, Trade:5.71256035438, Cost:5.41980116971, Avg:0.00163552617136 Std:0.0322350307863 Trades/Day:38.7765363128, et:0, leb:2, bs:6, ueb:3,
Net:0.2890867623, Trade:5.65736662012, Cost:5.36827985782, Avg:0.00161500984525 Std:0.0317199287688 Trades/Day:37.625698324, et:0, leb:2, bs:7, ueb:3,
Net:0.302569514076, Trade:5.64806860532, Cost:5.34549909124, Avg:0.00169033248087 Std:0.0316681346209 Trades/Day:37.1284916201, et:0, leb:2, bs:8, ueb:3,
Net:0.304268921303, Trade:5.64525042961, Cost:5.3409815083, Avg:0.00169982637599 Std:0.0316812785823 Trades/Day:36.9888268156, et:0, leb:2, bs:9, ueb:3,
Net:-2.33895463532, Trade:6.26520544501, Cost:8.60416008033, Avg:-0.0130667856722 Std:0.0317276563779 Trades/Day:105.681564246, et:1, leb:2, bs:1, ueb:3,
Net:0.539593464229, Trade:6.7400799385, Cost:6.20048647428, Avg:0.00301448862698 Std:0.0315891179908 Trades/Day:55.7597765363, et:1, leb:2, bs:2, ueb:3,
Net:0.429322257496, Trade:5.9175920133, Cost:5.4882697558, Avg:0.0023984483659 Std:0.0314927134499 Trades/Day:40.1452513966, et:1, leb:2, bs:3, ueb:3,
Net:0.350076707171, Trade:5.71353893104, Cost:5.36346222386, Avg:0.00195573579425 Std:0.03174048163 Trades/Day:37.4525139665, et:1, leb:2, bs:4, ueb:3,
Net:0.321359355305, Trade:5.66629446441, Cost:5.34493510911, Avg:0.00179530366092 Std:0.0317615649406 Trades/Day:37.0782122905, et:1, leb:2, bs:5, ueb:3,
Net:0.305747824324, Trade:5.64676373907, Cost:5.34101591474, Avg:0.00170808840405 Std:0.0317011113087 Trades/Day:36.9832402235, et:1, leb:2, bs:6, ueb:3,
Net:0.306840503377, Trade:5.64637427869, Cost:5.33953377531, Avg:0.00171419275629 Std:0.031702840939 Trades/Day:36.9608938547, et:1, leb:2, bs:7, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:1, leb:2, bs:8, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:1, leb:2, bs:9, ueb:3,
Net:0.68307422776, Trade:6.76717679026, Cost:6.0841025625, Avg:0.00381605713832 Std:0.0322852885407 Trades/Day:52.6089385475, et:2, leb:2, bs:1, ueb:3,
Net:0.429134792976, Trade:5.82814152301, Cost:5.39900673004, Avg:0.00239740107808 Std:0.0314503395421 Trades/Day:38.2011173184, et:2, leb:2, bs:2, ueb:3,
Net:0.331350139322, Trade:5.67550457465, Cost:5.34415443533, Avg:0.00185111809677 Std:0.0317149932445 Trades/Day:37.1005586592, et:2, leb:2, bs:3, ueb:3,
Net:0.312979875411, Trade:5.65354777977, Cost:5.34056790435, Avg:0.00174849092409 Std:0.0317228599939 Trades/Day:36.9720670391, et:2, leb:2, bs:4, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:2, leb:2, bs:5, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:2, leb:2, bs:6, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:2, leb:2, bs:7, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:2, leb:2, bs:8, ueb:3,
Net:0.306966358522, Trade:5.64650013383, Cost:5.33953377531, Avg:0.00171489585766 Std:0.0317016931858 Trades/Day:36.9553072626, et:2, leb:2, bs:9, ueb:3,
Net:-5.37275433272, Trade:6.13330059149, Cost:11.5060549242, Avg:-0.0300153873336 Std:0.0373037610941 Trades/Day:146.882681564, et:0, leb:2, bs:1, ueb:4,
Net:-1.48934078595, Trade:8.08314544156, Cost:9.57248622751, Avg:-0.0083203395863 Std:0.0355172190735 Trades/Day:107.357541899, et:0, leb:2, bs:2, ueb:4,
Net:-0.0012663470198, Trade:8.08832110634, Cost:8.08958745336, Avg:-7.0745643564e-06 Std:0.034040057063 Trades/Day:76.8212290503, et:0, leb:2, bs:3, ueb:4,
Net:0.527575449043, Trade:7.79490403287, Cost:7.26732858383, Avg:0.00294734887733 Std:0.0351408438233 Trades/Day:58.9162011173, et:0, leb:2, bs:4, ueb:4,
Net:0.620232046104, Trade:7.52154609093, Cost:6.90131404483, Avg:0.00346498349778 Std:0.0353654512406 Trades/Day:50.9217877095, et:0, leb:2, bs:5, ueb:4,
