Net:-5.89202189053, Trade:1.06295559563, Cost:6.95497748617, Avg:-0.0906464906236 Std:0.0570582737267 Trades/Day:120.323076923, et:0, leb:2, bs:1, ueb:3,
Net:-4.30661218739, Trade:1.49650669139, Cost:5.80311887878, Avg:-0.0662555721136 Std:0.0462221629149 Trades/Day:89.5538461538, et:0, leb:2, bs:2, ueb:3,
Net:-3.49847078241, Trade:1.34631604998, Cost:4.84478683239, Avg:-0.0538226274217 Std:0.0415052270421 Trades/Day:63.4615384615, et:0, leb:2, bs:3, ueb:3,
Net:-2.84493672936, Trade:1.40525782205, Cost:4.25019455141, Avg:-0.0437682573748 Std:0.0351305089391 Trades/Day:47.2153846154, et:0, leb:2, bs:4, ueb:3,
Net:-2.66523794106, Trade:1.32478753793, Cost:3.99002547898, Avg:-0.0410036606317 Std:0.0354020047573 Trades/Day:39.4615384615, et:0, leb:2, bs:5, ueb:3,
Net:-2.61237792374, Trade:1.27183961617, Cost:3.88421753991, Avg:-0.040190429596 Std:0.0347638157464 Trades/Day:36.5538461538, et:0, leb:2, bs:6, ueb:3,
Net:-2.59370534975, Trade:1.27409206072, Cost:3.86779741047, Avg:-0.0399031592269 Std:0.0351135105251 Trades/Day:35.9846153846, et:0, leb:2, bs:7, ueb:3,
Net:-2.59549222313, Trade:1.26269482323, Cost:3.85818704637, Avg:-0.0399306495867 Std:0.0344117455516 Trades/Day:35.6769230769, et:0, leb:2, bs:8, ueb:3,
Net:-2.61728528761, Trade:1.23931850212, Cost:3.85660378973, Avg:-0.0402659275017 Std:0.0340239269561 Trades/Day:35.5846153846, et:0, leb:2, bs:9, ueb:3,
Net:-5.12060677304, Trade:1.27890488614, Cost:6.39951165918, Avg:-0.0787785657391 Std:0.0524030375648 Trades/Day:105.092307692, et:1, leb:2, bs:1, ueb:3,
Net:-3.14180573462, Trade:1.47421731437, Cost:4.61602304898, Avg:-0.0483354728403 Std:0.0413401761931 Trades/Day:56.2923076923, et:1, leb:2, bs:2, ueb:3,
Net:-2.67568658234, Trade:1.33288936314, Cost:4.00857594548, Avg:-0.0411644089591 Std:0.0348201901306 Trades/Day:39.6923076923, et:1, leb:2, bs:3, ueb:3,
Net:-2.6111281369, Trade:1.26324116565, Cost:3.87436930255, Avg:-0.0401712021061 Std:0.0340564481535 Trades/Day:36.1076923077, et:1, leb:2, bs:4, ueb:3,
Net:-2.61090220599, Trade:1.25151432692, Cost:3.86241653291, Avg:-0.0401677262459 Std:0.0337046678197 Trades/Day:35.7230769231, et:1, leb:2, bs:5, ueb:3,
Net:-2.61674861557, Trade:1.24170489087, Cost:3.85845350645, Avg:-0.0402576710088 Std:0.0339111959986 Trades/Day:35.6307692308, et:1, leb:2, bs:6, ueb:3,
Net:-2.61693349355, Trade:1.24026036411, Cost:3.85719385766, Avg:-0.0402605152854 Std:0.0338951779997 Trades/Day:35.5846153846, et:1, leb:2, bs:7, ueb:3,
Net:-2.61507906618, Trade:1.24026507911, Cost:3.85534414529, Avg:-0.0402319856336 Std:0.0338994945094 Trades/Day:35.5538461538, et:1, leb:2, bs:8, ueb:3,
