Net:-10.499267509, Trade:5.7763922901, Cost:16.2756597991, Avg:-0.0430297848731 Std:0.0486003872973 Trades/Day:121.286885246, et:0, leb:2, bs:1, ueb:3,
Net:-5.72008031092, Trade:8.008960702, Cost:13.7290410129, Avg:-0.0234429520939 Std:0.0430086352916 Trades/Day:92.2254098361, et:0, leb:2, bs:2, ueb:3,
Net:-3.56232873092, Trade:7.96610107835, Cost:11.5284298093, Avg:-0.0145997079136 Std:0.0409034881094 Trades/Day:66.2295081967, et:0, leb:2, bs:3, ueb:3,
Net:-2.48827621896, Trade:7.63683092037, Cost:10.1251071393, Avg:-0.0101978533564 Std:0.0384020329388 Trades/Day:49.0614754098, et:0, leb:2, bs:4, ueb:3,
Net:-2.20105474328, Trade:7.28940170245, Cost:9.49045644573, Avg:-0.00902071616097 Std:0.0380472407124 Trades/Day:41.0532786885, et:0, leb:2, bs:5, ueb:3,
Net:-2.25190981446, Trade:7.00761934006, Cost:9.25952915453, Avg:-0.00922913858387 Std:0.0376621184877 Trades/Day:38.0409836066, et:0, leb:2, bs:6, ueb:3,
Net:-2.23690966285, Trade:6.95467805035, Cost:9.1915877132, Avg:-0.00916766255266 Std:0.0373594695923 Trades/Day:37.0450819672, et:0, leb:2, bs:7, ueb:3,
Net:-2.22521378446, Trade:6.93398279806, Cost:9.15919658251, Avg:-0.00911972862483 Std:0.0371748285216 Trades/Day:36.5983606557, et:0, leb:2, bs:8, ueb:3,
Net:-2.24530744171, Trade:6.90778830123, Cost:9.15309574293, Avg:-0.00920207967912 Std:0.0371643120378 Trades/Day:36.4713114754, et:0, leb:2, bs:9, ueb:3,
Net:-7.37870875362, Trade:7.5485997018, Cost:14.9273084554, Avg:-0.030240609646 Std:0.0479165106554 Trades/Day:105.086065574, et:1, leb:2, bs:1, ueb:3,
Net:-2.53775738426, Trade:8.21765307664, Cost:10.7554104609, Avg:-0.0104006450175 Std:0.0411594992625 Trades/Day:55.5983606557, et:1, leb:2, bs:2, ueb:3,
Net:-2.19347553572, Trade:7.25379299309, Cost:9.44726852881, Avg:-0.00898965383492 Std:0.0376634656811 Trades/Day:39.8360655738, et:1, leb:2, bs:3, ueb:3,
Net:-2.19334250512, Trade:6.99999946619, Cost:9.19334197131, Avg:-0.00898910862756 Std:0.0372432695704 Trades/Day:36.9508196721, et:1, leb:2, bs:4, ueb:3,
Net:-2.22183392608, Trade:6.94102816084, Cost:9.16286208692, Avg:-0.00910587674622 Std:0.0371357576369 Trades/Day:36.5737704918, et:1, leb:2, bs:5, ueb:3,
Net:-2.24329186665, Trade:6.91168799944, Cost:9.15497986609, Avg:-0.0091938191256 Std:0.0371492076245 Trades/Day:36.4795081967, et:1, leb:2, bs:6, ueb:3,
Net:-2.24238406557, Trade:6.9098540123, Cost:9.15223807787, Avg:-0.00919009862939 Std:0.0371483441593 Trades/Day:36.4508196721, et:1, leb:2, bs:7, ueb:3,
Net:-2.24040378306, Trade:6.90998458244, Cost:9.1503883655, Avg:-0.00918198271745 Std:0.0371424711953 Trades/Day:36.4385245902, et:1, leb:2, bs:8, ueb:3,
Net:-2.24040378306, Trade:6.90998458244, Cost:9.1503883655, Avg:-0.00918198271745 Std:0.0371424711953 Trades/Day:36.4385245902, et:1, leb:2, bs:9, ueb:3,
Net:-2.29529940734, Trade:8.19175438474, Cost:10.4870537921, Avg:-0.00940696478419 Std:0.0417011802455 Trades/Day:52.1557377049, et:2, leb:2, bs:1, ueb:3,
Net:-2.15958706374, Trade:7.09034297886, Cost:9.2499300426, Avg:-0.00885076665468 Std:0.0375332935362 Trades/Day:37.643442623, et:2, leb:2, bs:2, ueb:3,
Net:-2.22325562204, Trade:6.93576696245, Cost:9.15902258449, Avg:-0.00911170336902 Std:0.0372566705382 Trades/Day:36.5737704918, et:2, leb:2, bs:3, ueb:3,
Net:-2.23439026617, Trade:6.91703222838, Cost:9.15142249455, Avg:-0.00915733715643 Std:0.0371629569574 Trades/Day:36.4508196721, et:2, leb:2, bs:4, ueb:3,
Net:-2.24040378306, Trade:6.90998458244, Cost:9.1503883655, Avg:-0.00918198271745 Std:0.0371424711953 Trades/Day:36.4385245902, et:2, leb:2, bs:5, ueb:3,
