Net:-1.73533299736, Trade:1.25715279963, Cost:2.99248579699, Avg:-0.0289222166227 Std:0.0158900715332 Trades/Day:121.716666667, et:0, leb:2, bs:1, ueb:3,
Net:-0.630372552366, Trade:1.90383877981, Cost:2.53421133217, Avg:-0.0105062092061 Std:0.0158188179922 Trades/Day:92.5833333333, et:0, leb:2, bs:2, ueb:3,
Net:-0.186483709806, Trade:1.95456889866, Cost:2.14105260847, Avg:-0.0031080618301 Std:0.0165237933243 Trades/Day:66.7833333333, et:0, leb:2, bs:3, ueb:3,
Net:-0.0324756785833, Trade:1.84694159053, Cost:1.87941726911, Avg:-0.000541261309721 Std:0.0217450967357 Trades/Day:49.75, et:0, leb:2, bs:4, ueb:3,
Net:-0.014534604658, Trade:1.74731861357, Cost:1.76185321822, Avg:-0.000242243410966 Std:0.0224845160888 Trades/Day:41.7333333333, et:0, leb:2, bs:5, ueb:3,
Net:-0.026567878527, Trade:1.68753285636, Cost:1.71410073489, Avg:-0.00044279797545 Std:0.0226203354183 Trades/Day:38.4666666667, et:0, leb:2, bs:6, ueb:3,
Net:-0.0140315352915, Trade:1.68604094492, Cost:1.70007248021, Avg:-0.000233858921524 Std:0.0227023883707 Trades/Day:37.3666666667, et:0, leb:2, bs:7, ueb:3,
Net:-0.0162285062305, Trade:1.67565042126, Cost:1.69187892749, Avg:-0.000270475103842 Std:0.0224817503168 Trades/Day:36.8666666667, et:0, leb:2, bs:8, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:0, leb:2, bs:9, ueb:3,
Net:-0.98493646083, Trade:1.74112352637, Cost:2.7260599872, Avg:-0.0164156076805 Std:0.0175034824414 Trades/Day:104.916666667, et:1, leb:2, bs:1, ueb:3,
Net:0.0313026854968, Trade:1.99514151944, Cost:1.96383883394, Avg:0.000521711424947 Std:0.0203069310396 Trades/Day:55.6166666667, et:1, leb:2, bs:2, ueb:3,
Net:0.0505339401641, Trade:1.78393297032, Cost:1.73339903015, Avg:0.000842232336069 Std:0.0224977768842 Trades/Day:39.9333333333, et:1, leb:2, bs:3, ueb:3,
Net:0.0152007499291, Trade:1.71187073107, Cost:1.69666998114, Avg:0.000253345832151 Std:0.02271578745 Trades/Day:37.2, et:1, leb:2, bs:4, ueb:3,
Net:0.00431639161826, Trade:1.69780642308, Cost:1.69349003146, Avg:7.19398603044e-05 Std:0.0226450162233 Trades/Day:36.9833333333, et:1, leb:2, bs:5, ueb:3,
Net:-0.00903857401976, Trade:1.68214672634, Cost:1.69118530036, Avg:-0.000150642900329 Std:0.0224547156138 Trades/Day:36.8166666667, et:1, leb:2, bs:6, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:1, leb:2, bs:7, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:1, leb:2, bs:8, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:1, leb:2, bs:9, ueb:3,
Net:0.0809220413657, Trade:1.99470364886, Cost:1.9137816075, Avg:0.00134870068943 Std:0.0207483821847 Trades/Day:51.8833333333, et:2, leb:2, bs:1, ueb:3,
Net:0.0427367087373, Trade:1.75509957672, Cost:1.71236286799, Avg:0.000712278478955 Std:0.0227083002749 Trades/Day:38.3, et:2, leb:2, bs:2, ueb:3,
Net:-0.00177400116944, Trade:1.68952656884, Cost:1.69130057001, Avg:-2.95666861574e-05 Std:0.0227022895061 Trades/Day:36.9, et:2, leb:2, bs:3, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:2, leb:2, bs:4, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:2, leb:2, bs:5, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:2, leb:2, bs:6, ueb:3,
Net:-0.0094551028856, Trade:1.68024805863, Cost:1.68970316151, Avg:-0.000157585048093 Std:0.022520211526 Trades/Day:36.75, et:2, leb:2, bs:7, ueb:3,
