Net:-0.217315942108, Trade:1.96983949647, Cost:2.18715543858, Avg:-0.00368332105267 Std:0.0168222655167 Trades/Day:127.152542373, et:0, leb:2, bs:1, ueb:3,
Net:0.839559076608, Trade:2.7221557396, Cost:1.882596663, Avg:0.0142298148578 Std:0.0233625293437 Trades/Day:99.0508474576, et:0, leb:2, bs:2, ueb:3,
Net:1.31764672768, Trade:2.89737770467, Cost:1.57973097698, Avg:0.0223329953845 Std:0.0269246597856 Trades/Day:72.0, et:0, leb:2, bs:3, ueb:3,
Net:1.34667090184, Trade:2.72335476192, Cost:1.37668386008, Avg:0.0228249305396 Std:0.0286228703473 Trades/Day:52.6610169492, et:0, leb:2, bs:4, ueb:3,
Net:1.31272096642, Trade:2.58585813049, Cost:1.27313716407, Avg:0.0222495079054 Std:0.0290939217851 Trades/Day:43.5762711864, et:0, leb:2, bs:5, ueb:3,
Net:1.23366018939, Trade:2.47178154966, Cost:1.23812136027, Avg:0.0209094947354 Std:0.0297144624603 Trades/Day:39.9322033898, et:0, leb:2, bs:6, ueb:3,
Net:1.19732813926, Trade:2.4217434279, Cost:1.22441528864, Avg:0.0202936972756 Std:0.0289637326961 Trades/Day:38.6440677966, et:0, leb:2, bs:7, ueb:3,
Net:1.19900233779, Trade:2.41591105936, Cost:1.21690872156, Avg:0.0203220735219 Std:0.0289183849011 Trades/Day:37.9830508475, et:0, leb:2, bs:8, ueb:3,
Net:1.18812441229, Trade:2.40350566407, Cost:1.21538125178, Avg:0.0201377019033 Std:0.028847051072 Trades/Day:37.7627118644, et:0, leb:2, bs:9, ueb:3,
Net:0.650731896098, Trade:2.65157545694, Cost:2.00084356084, Avg:0.0110293541711 Std:0.0219140831785 Trades/Day:110.084745763, et:1, leb:2, bs:1, ueb:3,
Net:1.39218523525, Trade:2.82875685669, Cost:1.43657162144, Avg:0.0235963599194 Std:0.0286613679762 Trades/Day:58.0847457627, et:1, leb:2, bs:2, ueb:3,
Net:1.2337580115, Trade:2.4854098168, Cost:1.25165180529, Avg:0.0209111527373 Std:0.028605280569 Trades/Day:41.1186440678, et:1, leb:2, bs:3, ueb:3,
Net:1.18520733172, Trade:2.40604791286, Cost:1.22084058113, Avg:0.0200882598597 Std:0.0290872024668 Trades/Day:38.186440678, et:1, leb:2, bs:4, ueb:3,
