Net:-0.561148974649, Trade:3.30310881192, Cost:3.86425778657, Avg:-0.00467624145541 Std:0.0177841351591 Trades/Day:123.45, et:0, leb:2, bs:1, ueb:3,
Net:1.45561486686, Trade:4.75541128859, Cost:3.29979642174, Avg:0.0121301238905 Std:0.0223286664451 Trades/Day:95.3833333333, et:0, leb:2, bs:2, ueb:3,
Net:2.21144119818, Trade:4.98197996878, Cost:2.7705387706, Avg:0.0184286766515 Std:0.0247212364087 Trades/Day:68.8166666667, et:0, leb:2, bs:3, ueb:3,
Net:2.30150412558, Trade:4.72197308438, Cost:2.4204689588, Avg:0.0191792010465 Std:0.027119511626 Trades/Day:50.6416666667, et:0, leb:2, bs:4, ueb:3,
Net:2.23533323159, Trade:4.48815327752, Cost:2.25282004593, Avg:0.0186277769299 Std:0.0272660092203 Trades/Day:42.0416666667, et:0, leb:2, bs:5, ueb:3,
Net:2.11632295022, Trade:4.30671886871, Cost:2.1903959185, Avg:0.0176360245851 Std:0.0272790677727 Trades/Day:38.5666666667, et:0, leb:2, bs:6, ueb:3,
Net:2.08675464829, Trade:4.25662099384, Cost:2.16986634555, Avg:0.0173896220691 Std:0.026850649444 Trades/Day:37.3666666667, et:0, leb:2, bs:7, ueb:3,
Net:2.08267553936, Trade:4.24027631807, Cost:2.1576007787, Avg:0.0173556294947 Std:0.0267335733804 Trades/Day:36.775, et:0, leb:2, bs:8, ueb:3,
Net:2.07506728863, Trade:4.22953247364, Cost:2.15446518502, Avg:0.0172922274052 Std:0.02664190026 Trades/Day:36.5833333333, et:0, leb:2, bs:9, ueb:3,
Net:0.966471640077, Trade:4.49024703737, Cost:3.52377539729, Avg:0.00805393033398 Std:0.0224454942474 Trades/Day:106.533333333, et:1, leb:2, bs:1, ueb:3,
Net:2.45505603678, Trade:4.97952582403, Cost:2.52446978725, Avg:0.0204588003065 Std:0.0263751436727 Trades/Day:56.1, et:1, leb:2, bs:2, ueb:3,
Net:2.19998999552, Trade:4.41232758534, Cost:2.21233758982, Avg:0.0183332499627 Std:0.0267571119488 Trades/Day:39.7333333333, et:1, leb:2, bs:3, ueb:3,
Net:2.10423062087, Trade:4.26777851671, Cost:2.16354789584, Avg:0.0175352551739 Std:0.0267816404793 Trades/Day:37.0166666667, et:1, leb:2, bs:4, ueb:3,
